"","date","net_kWh","produced_kWh","consumed_kWh"
"592",2023-11-27,5.77,33.049,38.819
"593",2023-11-28,53.02,33.52,86.54
"594",2023-11-29,24.97,29.704,54.674
"595",2023-11-30,12.54,33.807,46.347
"596",2023-12-01,72.18,6.506,78.686
"597",2023-12-02,25.43,18.938,44.368
"598",2023-12-03,33.54,2.644,36.184
"599",2023-12-04,16.26,15.689,31.949
"600",2023-12-05,44.11,6.356,50.466
"601",2023-12-06,27.41,16.555,43.965
"602",2023-12-07,98.31,4.434,102.744
"603",2023-12-08,17.66,26.391,44.051
"604",2023-12-09,36.46,17.355,53.815
"605",2023-12-10,29.11,2.754,31.864
"606",2023-12-11,26.62,16.674,43.294
